step,type,name,x,y,z,vx,vy,vz,mass
0,heavy,Sun,-2.0645696943e+05,-7.1868835957e+05,-2.9569100745e+05,1.0628347194e-02,3.8201539217e-03,1.4131451969e-03,1.9884098713e+30
0,heavy,Mercury,-5.8043718377e+07,-2.4672552732e+07,-7.0978570510e+06,9.0632308825e+00,-3.7448815136e+01,-2.0944158089e+01,3.3010006368e+23
0,heavy,Venus,8.1242254339e+07,-6.4621379032e+07,-3.4202989935e+07,2.3002303712e+01,2.4323048165e+01,9.4898288938e+00,4.8673058148e+24
0,heavy,Earth,1.4595592321e+08,-3.4412015583e+07,-1.4902183679e+07,6.7949647149e+00,2.6416934649e+01,1.1452220668e+01,5.9721683987e+24
0,heavy,Moon,1.4568560953e+08,-3.4183084426e+07,-1.4794892896e+07,6.0540001418e+00,2.5759231271e+01,1.1063791665e+01,7.3457890715e+22
0,heavy,Mars,6.2497532066e+07,2.0003713299e+08,9.0095180567e+07,-2.2373339647e+01,7.6922327793e+00,4.1316221846e+00,6.4169086826e+23
0,heavy,Jupiter,-5.0303684608e+08,5.5815503284e+08,2.5149266208e+08,-1.0251316481e+01,-7.1506407916e+00,-2.8154099957e+00,1.8981246258e+27
0,heavy,Saturn,1.3893012147e+09,2.4888680675e+08,4.2962288929e+07,-2.2119486261e+00,8.7392603749e+00,3.7047660455e+00,5.6831737006e+26
0,heavy,Uranus,1.3474559287e+09,2.3676512318e+09,1.0179080749e+09,-6.0850920429e+00,2.5681802047e+00,1.2107559657e+00,8.6809872196e+25
0,heavy,Neptune,4.4639841170e+09,2.2168527170e+08,-2.0400494697e+07,-2.7249941643e-01,5.0542562177e+00,2.0751586258e+00,1.0240924097e+26
0,heavy,Pluto,2.9775423875e+09,-3.8796462372e+09,-2.1078426983e+09,4.6653539006e+00,2.3003296442e+00,-7.0820449806e-01,1.3024586848e+22
0,heavy,Phobos,6.2488949100e+07,2.0003574117e+08,9.0099056075e+07,-2.2477831973e+01,5.8014894590e+00,3.2120214321e+00,1.0618341998e+16
0,heavy,Deimos,6.2516386840e+07,2.0003097782e+08,9.0082639988e+07,-2.1783159080e+01,8.8667190793e+00,4.4427985980e+00,1.4413496546e+15
0,heavy,Io,-5.0304091413e+08,5.5777322357e+08,2.5131040827e+08,7.0287836160e+00,-7.3659325092e+00,-2.6446868515e+00,8.9296495513e+22
0,heavy,Europa,-5.0363432499e+08,5.5843133568e+08,2.5160913853e+08,-1.6330041651e+01,-1.8304554857e+01,-8.1932455137e+00,4.7986140869e+22
0,heavy,Ganymede,-5.0197636465e+08,5.5826241837e+08,2.5156134804e+08,-1.1534269536e+01,2.6196884287e+00,1.8508775373e+00,1.4814788068e+23
0,heavy,Callisto,-5.0343619055e+08,5.5982193250e+08,2.5227228373e+08,-1.8278542976e+01,-8.6256067810e+00,-3.6299228389e+00,1.0756617173e+23
0,heavy,Mimas,1.3891701270e+09,2.4875563796e+08,4.2978926072e+07,8.0704979957e+00,-1.1499486786e+00,3.7720463757e+00,3.7491572150e+19
0,heavy,Enceladus,1.3891459397e+09,2.4870681908e+08,4.2988882763e+07,7.3090531543e+00,5.3172084919e-01,3.4895788960e+00,1.0802630988e+20
0,heavy,Tethys,1.3892849384e+09,2.4918052601e+08,4.2940970804e+07,-1.3511141631e+01,8.1819086488e+00,4.5046852609e+00,6.1744302773e+20
0,heavy,Dione,1.3891508986e+09,2.4923211083e+08,4.2949885432e+07,-1.1389226043e+01,4.8010067015e+00,4.7805687691e+00,1.0954856689e+21
0,heavy,Rhea,1.3894356624e+09,2.4939392520e+08,4.2911530390e+07,-1.0383177881e+01,1.0967004511e+01,4.2087786718e+00,2.3064890700e+21
