"full_name","epoch","e","a","i","om","w","ma","per"
"  352P/Skiff",2456228.5,0.6177,6.598,21.06,28.14,309.35,261.31,6.19e+03
"  353P/McNaught",2457179.5,0.4686,4.168,28.41,121.58,230.42,252.33,3.11e+03
"  354P/LINEAR",2456701.5,0.1250,2.29,5.26,320.24,132.73,75.96,1.27e+03
"  355P/LINEAR-NEAT",2455667.5,0.5081,3.472,11.04,51.44,336.40,358.69,2.36e+03
"  356P/WISE",2458320.5,0.3541,4.164,9.63,160.80,226.15,25.05,3.1e+03
"  357P/Hill",2455210.5,0.4355,4.45,6.33,44.67,1.30,40.52,3.43e+03
"  358P/PANSTARRS",2459793.5,0.2389,3.147,11.06,85.70,299.77,277.68,2.04e+03
"  359P/LONEOS",2457128.5,0.3225,4.631,10.26,149.81,200.25,275.14,3.64e+03
"  360P/WISE",2458323.5,0.4979,3.705,24.08,2.23,354.14,46.93,2.61e+03
"  361P/Spacewatch",2458012.5,0.4379,4.946,13.88,203.28,219.24,334.05,4.02e+03
"  363P/Lemmon",2457290.5,0.5575,3.405,3.97,169.92,315.27,217.33,2.3e+03
"  364P/PANSTARRS",2458898.5,0.7226,2.878,12.15,46.22,211.97,122.02,1.78e+03
"  365P/PANSTARRS",2458101.5,0.5733,3.186,9.84,87.44,66.40,349.81,2.08e+03
"  366P/Spacewatch",2455320.5,0.3474,3.501,8.85,70.80,153.58,268.01,2.39e+03
"  367P/Catalina",2456029.5,0.2799,3.511,8.46,58.74,173.48,20.10,2.4e+03
"  368P/NEAT",2456083.5,0.6285,5.504,15.45,258.17,118.81,185.41,4.72e+03
"  369P/Hill",2457084.5,0.5546,4.385,10.32,47.37,13.33,218.12,3.35e+03
"  370P/NEAT",2454038.5,0.6122,6.459,19.37,55.27,356.83,104.46,6e+03
"  371P/LINEAR-Skiff",2454648.5,0.4780,4.164,17.41,67.41,308.64,286.47,3.1e+03
"  372P/McNaught",2454936.5,0.1535,4.494,9.52,325.86,27.46,359.32,3.48e+03
"  373P/Rinner",2456703.5,0.3937,3.802,13.77,232.02,221.22,110.52,2.71e+03
"  374P/Larson",2455703.5,0.4625,4.969,10.79,8.16,51.42,112.06,4.05e+03
"  375P/Hill",2457232.5,0.6600,5.567,17.37,359.97,119.43,266.89,4.8e+03
"  376P/LONEOS",2455465.5,0.5148,5.857,1.19,315.16,285.48,129.87,5.18e+03
"  377P/Scotti",2456842.5,0.2515,6.728,9.02,226.03,354.47,235.87,6.37e+03
"  378P/McNaught",2458985.5,0.4688,6.364,19.11,94.52,194.16,350.27,5.86e+03
