"full_name","epoch","e","a","i","om","w","ma","per"
"   36P/Whipple",2454686.5,0.2582,4.165,9.94,182.39,201.96,216.03,3.1e+03
"   37P/Forbes",2458673.5,0.5342,3.458,8.96,314.58,330.02,66.04,2.35e+03
"   38P/Stephan-Oterma",2458266.5,0.8593,11.29,18.35,78.00,359.59,355.66,1.39e+04
"   39P/Oterma",2456994.5,0.2284,7.403,1.48,303.64,89.70,210.80,7.36e+03
"   40P/Vaisala 1",2455788.5,0.6325,4.904,11.50,134.48,47.31,251.92,3.97e+03
"   41P/Tuttle-Giacobini-Kresak",2457857.5,0.6613,3.085,9.23,141.06,62.17,0.23,1.98e+03
"   42P/Neujmin 3",2454120.5,0.5856,4.858,3.99,150.35,147.18,84.47,3.91e+03
"   43P/Wolf-Harrington",2459065.5,0.4386,4.307,9.39,244.41,224.05,158.43,3.27e+03
"   44P/Reinmuth 2",2458939.5,0.4270,3.689,5.90,286.48,58.12,255.16,2.59e+03
"   45P/Honda-Mrkos-Pajdusakova",2457979.5,0.8240,3.026,4.25,88.93,326.34,42.26,1.92e+03
"   46P/Wirtanen",2458465.5,0.6588,3.093,11.75,82.16,356.34,0.01,1.99e+03
"   47P/Ashbrook-Jackson",2459557.5,0.3185,4.123,13.04,356.92,357.66,193.13,3.06e+03
"   48P/Johnson",2458564.5,0.4271,3.499,12.21,110.13,216.57,33.40,2.39e+03
"   49P/Arend-Rigaux",2457055.5,0.6002,3.567,19.06,118.83,332.93,175.82,2.46e+03
"   50P/Arend",2455743.5,0.5306,4.087,19.16,355.31,49.04,159.38,3.02e+03
"   51P/Harrington",2457925.5,0.5420,3.71,5.42,83.72,269.16,93.59,2.61e+03
"   52P/Harrington-Abell",2457578.5,0.5400,3.859,10.23,336.84,139.66,111.11,2.77e+03
"   53P/Van Biesbroeck",2455802.5,0.5510,5.405,6.61,148.90,134.26,226.11,4.59e+03
"   54P/de Vico-Swift-NEAT",2459461.5,0.4261,3.791,6.06,358.82,1.79,213.72,2.7e+03
"   55P/Tempel-Tuttle",2451040.5,0.9056,10.34,162.49,235.27,172.50,4.98,1.21e+04
"   56P/Slaughter-Burnham",2456516.5,0.5073,5.086,8.15,346.04,44.22,267.96,4.19e+03
"   57P/duToit-Neujmin-Delporte",2458180.5,0.4998,3.45,2.85,188.81,115.13,156.19,2.34e+03
"   58P/Jackson-Neujmin",2452996.5,0.6605,4.09,13.46,160.61,200.44,357.74,3.02e+03
"   59P/Kearns-Kwee",2456600.5,0.4764,4.491,9.34,312.86,127.75,176.09,3.48e+03
"   60P/Tsuchinshan 2",2458393.5,0.5378,3.51,3.61,267.58,216.55,349.48,2.4e+03
"   61P/Shajn-Schaldach",2459852.5,0.4242,3.692,6.00,162.97,221.66,356.69,2.59e+03
"   62P/Tsuchinshan 1",2458054.5,0.5975,3.438,9.71,90.24,30.35,357.04,2.33e+03
"   63P/Wild 1",2457565.5,0.6510,5.596,19.78,357.97,169.14,87.26,4.83e+03
"   64P/Swift-Gehrels",2458096.5,0.6873,4.456,8.95,300.00,97.14,325.43,3.44e+03
"   65P/Gunn",2459091.5,0.2498,3.884,9.18,62.02,213.81,134.81,2.8e+03
"   66P/du Toit",2456961.5,0.7866,6.023,18.67,22.00,257.34,273.48,5.4e+03
"   67P/Churyumov-Gerasimenko",2457305.5,0.6409,3.462,7.04,50.14,12.80,8.86,2.35e+03
"   68P/Klemola",2457453.5,0.6403,4.899,11.18,175.30,153.84,237.68,3.96e+03
"   69P/Taylor",2457557.5,0.4136,3.889,22.04,104.85,343.67,231.04,2.8e+03
"   70P/Kojima",2457156.5,0.4539,3.674,6.60,119.27,1.95,28.73,2.57e+03
"   71P/Clark",2458635.5,0.4945,3.139,9.44,59.44,208.97,124.18,2.03e+03
"   72P/Denning-Fujikawa",2457286.5,0.8205,4.347,9.23,35.44,338.47,47.38,3.31e+03
"   73P/Schwassmann-Wachmann 3",2459127.5,0.6857,3.093,11.23,69.64,199.45,235.06,1.99e+03
"   74P/Smirnova-Chernykh",2456322.5,0.1479,4.165,6.65,77.08,86.56,148.79,3.1e+03
"   75D/Kohoutek",2449520.5,0.4963,3.543,5.91,269.69,175.80,358.09,2.44e+03
"   76P/West-Kohoutek-Ikemura",2456259.5,0.5389,3.47,30.48,84.12,0.07,335.49,2.36e+03
"   77P/Longmore",2456693.5,0.3542,3.613,24.34,14.89,196.95,240.95,2.51e+03
"   78P/Gehrels 2",2457466.5,0.4611,3.738,6.25,210.56,192.73,208.57,2.64e+03
"   79P/du Toit-Hartley",2454391.5,0.5941,3.031,2.89,307.84,253.27,318.28,1.93e+03
"   80P/Peters-Hartley",2457856.5,0.5994,4.023,29.93,259.84,339.17,108.05,2.95e+03
"   81P/Wild 2",2458808.5,0.5374,3.45,3.24,136.11,41.73,187.60,2.34e+03
"   82P/Gehrels 3",2452484.5,0.1233,4.135,1.13,239.59,227.50,38.99,3.07e+03
"   83D/Russell 1",2446240.5,0.5172,3.338,22.66,230.84,0.38,358.19,2.23e+03
"   84P/Giclas",2458413.5,0.5159,3.565,7.51,108.34,280.96,273.64,2.46e+03
"   85D/Boethin",2454252.5,0.7812,5.185,4.30,359.40,37.62,313.19,4.31e+03
"   86P/Wild 3",2457683.5,0.3722,3.605,15.47,72.39,179.19,81.70,2.5e+03
"   87P/Bus",2457467.5,0.3893,3.441,2.60,181.89,24.76,126.79,2.33e+03
"   88P/Howell",2459011.5,0.5643,3.106,4.38,56.69,235.92,340.62,2e+03
"   89P/Russell 2",2458318.5,0.4084,3.753,12.08,41.44,250.18,78.77,2.66e+03
"   90P/Gehrels 1",2457800.5,0.5098,6.069,9.64,13.25,29.27,351.87,5.46e+03
"   91P/Russell 3",2454575.5,0.3302,3.89,14.09,247.90,354.87,131.90,2.8e+03
"   92P/Sanguin",2452982.5,0.6631,5.367,18.76,182.34,163.06,35.04,4.54e+03
"   93P/Lovas 1",2455367.5,0.6125,4.39,12.22,339.91,74.61,98.07,3.36e+03
"   94P/Russell 4",2456781.5,0.3641,3.511,6.18,70.90,92.69,224.01,2.4e+03
"   96P/Machholz 1",2457961.5,0.9592,3.035,58.14,94.25,14.79,342.67,1.93e+03
"   97P/Metcalf-Brewington",2457856.5,0.4569,4.8,17.86,185.17,228.22,193.67,3.84e+03
"   98P/Takamizawa",2455915.5,0.5606,3.806,10.55,114.75,157.95,281.08,2.71e+03
"   99P/Kowal 1",2457020.5,0.2297,6.135,4.34,28.18,174.19,187.64,5.55e+03
"  100P/Hartley 1",2457114.5,0.4138,3.428,25.58,37.76,181.87,303.15,2.32e+03
"  101P/Chernykh",2456943.5,0.5977,5.782,5.03,116.59,277.43,224.40,5.08e+03
"  102P/Shoemaker 1",2456078.5,0.4732,3.737,26.24,339.87,18.74,297.48,2.64e+03
"  103P/Hartley 2",2457152.5,0.6936,3.476,13.60,219.74,181.32,251.78,2.37e+03
"  104P/Kowal 2",2459486.5,0.6655,3.208,5.70,207.21,227.25,342.05,2.1e+03
"  105P/Singer Brewster",2456550.5,0.4091,3.469,9.17,192.41,46.61,86.48,2.36e+03
"  106P/Schuster",2457493.5,0.5895,3.754,20.20,50.33,355.98,86.00,2.66e+03
"  108P/Ciffreo",2458257.5,0.5810,3.642,13.98,52.40,356.86,184.02,2.54e+03
"  109P/Swift-Tuttle",2450000.5,0.9632,26.09,113.45,139.38,152.98,7.63,4.87e+04
"  110P/Hartley 3",2458260.5,0.3163,3.604,11.70,287.53,167.39,180.37,2.5e+03
"  111P/Helin-Roman-Crockett",2456320.5,0.1096,4.16,4.23,89.79,3.38,359.69,3.1e+03
"  112P/Urata-Niijima",2456346.5,0.5880,3.533,24.20,31.93,21.45,341.99,2.43e+03
"  113P/Spitaler",2457229.5,0.4245,3.682,5.78,14.39,50.03,13.01,2.58e+03
"  114P/Wiseman-Skiff",2458282.5,0.5545,3.545,18.27,271.06,172.84,274.33,2.44e+03
"  115P/Maury",2456992.5,0.5183,4.271,11.67,176.08,121.11,128.74,3.22e+03
"  116P/Wild 4",2457494.5,0.3723,3.484,3.61,20.99,173.31,14.47,2.38e+03
"  117P/Helin-Roman-Alu 1",2456714.5,0.2538,4.096,8.70,58.90,222.69,356.53,3.03e+03
"  118P/Shoemaker-Levy 4",2459388.5,0.4551,3.361,10.09,142.11,314.44,277.14,2.25e+03
"  119P/Parker-Hartley",2457254.5,0.2959,4.295,5.18,243.68,181.86,55.70,3.25e+03
"  120P/Mueller 1",2454349.5,0.3365,4.136,8.79,4.44,30.01,125.57,3.07e+03
"  121P/Shoemaker-Holt 2",2454700.5,0.2040,4.519,20.73,95.96,18.02,167.89,3.51e+03
"  122P/de Vico",2450280.5,0.9627,17.68,85.38,79.62,13.00,3.77,2.72e+04
"  123P/West-Hartley",2457778.5,0.4491,3.86,15.36,46.50,102.98,263.72,2.77e+03
"  124P/Mrkos",2457467.5,0.5040,3.318,31.53,0.40,183.77,115.81,2.21e+03
"  125P/Spacewatch",2457245.5,0.5127,3.126,9.99,153.20,87.15,161.39,2.02e+03
"  126P/IRAS",2459361.5,0.6963,5.64,45.87,357.86,356.52,303.39,4.89e+03
"  127P/Holt-Olmstead",2457276.5,0.3607,3.451,14.30,13.65,6.71,330.96,2.34e+03
"  128P/Shoemaker-Holt 1",2457435.5,0.3215,4.503,4.36,214.29,210.58,326.09,3.49e+03
"  129P/Shoemaker-Levy 3",2456480.5,0.0906,4.304,3.43,185.16,309.13,335.92,3.26e+03
"  130P/McNaught-Hughes",2458178.5,0.4608,3.382,6.07,70.26,245.91,6.06,2.27e+03
"  131P/Mueller 2",2456495.5,0.3432,3.679,7.36,214.20,179.28,78.57,2.58e+03
"  132P/Helin-Roman-Alu 2",2459491.5,0.5647,3.886,5.38,174.00,216.35,354.84,2.8e+03
"  134P/Kowal-Vavrova",2456476.5,0.5872,6.229,4.35,202.12,18.56,339.56,5.68e+03
"  135P/Shoemaker-Levy 8",2450500.5,0.2902,3.828,6.05,213.36,22.70,225.43,2.74e+03
"  136P/Mueller 3",2457898.5,0.2911,4.202,9.42,137.45,225.11,41.09,3.15e+03
"  137P/Shoemaker-Levy 2",2457388.5,0.5720,4.518,4.85,233.07,140.98,249.35,3.51e+03
"  138P/Shoemaker-Levy 7",2455109.5,0.5298,3.624,10.08,309.44,95.55,219.80,2.52e+03
"  139P/Vaisala-Oterma",2455799.5,0.2476,4.524,2.33,242.33,165.88,125.14,3.51e+03
"  140P/Bowell-Skiff",2451320.5,0.6918,6.397,3.84,343.46,173.09,0.44,5.91e+03
"  141P/Machholz 2",2458696.5,0.7367,3.055,13.98,241.88,153.62,267.16,1.95e+03
"  142P/Ge-Wang",2455672.5,0.4991,4.966,12.31,176.52,175.63,29.02,4.04e+03
"  143P/Kowal-Mrkos",2457483.5,0.4099,4.294,4.69,245.31,320.84,275.56,3.25e+03
"  144P/Kushida",2459962.5,0.6351,3.829,3.93,242.98,216.35,310.97,2.74e+03
"  145P/Shoemaker-Levy 5",2458777.5,0.5407,4.142,11.26,26.80,10.29,91.24,3.08e+03
"  146P/Shoemaker-LINEAR",2459676.5,0.6473,4.031,23.11,53.38,316.99,256.31,2.96e+03
"  147P/Kushida-Muramatsu",2453673.5,0.2756,3.802,2.37,93.77,347.03,219.12,2.71e+03
"  148P/Anderson-LINEAR",2456236.5,0.5393,3.678,3.68,89.79,6.60,227.15,2.58e+03
"  149P/Mueller 4",2456417.5,0.3883,4.326,29.75,145.26,43.57,128.28,3.29e+03
"  150P/LONEOS",2458754.5,0.5465,3.88,18.51,272.41,245.61,149.67,2.79e+03
"  151P/Helin",2455249.5,0.5709,5.807,4.73,143.55,215.53,215.44,5.11e+03
"  152P/Helin-Lawrence",2457062.5,0.3072,4.493,9.87,91.90,163.59,97.86,3.48e+03
"  153P/Ikeya-Zhang",2452402.5,0.9901,51.12,28.12,93.37,34.67,0.13,1.33e+05
"  154P/Brewington",2457139.5,0.6720,4.882,17.89,343.43,48.91,45.70,3.94e+03
"  155P/Shoemaker 3",2455702.5,0.7261,6.594,6.40,97.28,14.60,179.61,6.19e+03
"  156P/Russell-LINEAR",2458929.5,0.6149,3.462,17.26,35.40,0.38,323.00,2.35e+03
"  157P/Tritton",2458876.5,0.6275,3.368,11.18,289.43,157.44,213.80,2.26e+03
"  158P/Kowal-LINEAR",2456120.5,0.0306,4.721,7.91,137.31,232.61,352.78,3.75e+03
"  159P/LONEOS",2457137.5,0.3821,5.86,23.46,55.06,4.87,281.89,5.18e+03
"  160P/LINEAR",2456189.5,0.4791,3.967,17.28,337.00,18.20,0.06,2.89e+03
"  161P/Hartley-IRAS",2455311.5,0.8352,7.72,95.87,1.47,47.04,81.26,7.83e+03
"  162P/Siding Spring",2455558.5,0.5961,3.053,27.82,31.24,356.33,54.41,1.95e+03
"  163P/NEAT",2454059.5,0.4760,3.68,12.50,103.35,348.05,91.67,2.58e+03
"  164P/Christensen",2458360.5,0.5397,3.661,16.25,88.31,325.93,12.75,2.56e+03
"  165P/LINEAR",2452114.5,0.6216,18.05,15.91,0.64,126.21,5.18,2.8e+04
"  166P/NEAT",2452819.5,0.3831,13.88,15.37,64.49,321.88,7.70,1.89e+04
"  167P/CINEOS",2453092.5,0.2700,16.14,19.13,295.84,343.65,16.46,2.37e+04
"  168P/Hergenrother",2455839.5,0.6095,3.624,21.93,356.48,13.92,308.15,2.52e+03
"  169P/NEAT",2457945.5,0.7679,2.603,11.30,176.10,218.05,291.32,1.53e+03
"  170P/Christensen",2459721.5,0.3042,4.201,10.12,142.92,225.53,321.85,3.15e+03
"  171P/Spahr",2458232.5,0.5019,3.558,21.93,101.70,347.16,321.13,2.45e+03
"  172P/Yeung",2456502.5,0.2229,4.18,11.30,33.48,208.81,207.62,3.12e+03
"  173P/Mueller 5",2455978.5,0.2614,5.691,16.51,100.50,29.39,99.91,4.96e+03
"  175P/Hergenrother",2455983.5,0.4327,3.436,6.07,123.69,55.63,290.06,2.33e+03
"  177P/Barnard",2453849.5,0.9544,24.3,31.22,272.07,60.45,358.96,4.38e+04
"  178P/Hug-Bell",2458099.5,0.4787,3.651,11.01,103.09,296.95,225.97,2.55e+03
"  179P/Jedicke",2456975.5,0.3070,5.937,19.86,115.62,296.30,172.84,5.28e+03
"  180P/NEAT",2457502.5,0.3549,3.858,16.87,84.57,94.86,17.34,2.77e+03
"  181P/Shoemaker-Levy 6",2456908.5,0.7073,3.839,16.98,37.68,333.80,11.75,2.75e+03
"  182P/LONEOS",2453294.5,0.6663,2.931,16.91,75.10,51.44,194.47,1.83e+03
"  183P/Korlevic-Juric",2456186.5,0.1352,4.494,18.74,5.84,160.82,165.24,3.48e+03
"  184P/Lovas 2",2456460.5,0.6043,3.522,1.55,277.74,78.06,353.82,2.41e+03
"  185P/Petriew",2457129.5,0.6988,3.1,14.00,214.10,181.94,176.38,1.99e+03
"  186P/Garradd",2455776.5,0.1268,4.95,28.54,327.58,287.34,103.91,4.02e+03
"  187P/LINEAR",2455601.5,0.1732,4.494,13.66,111.74,134.74,86.86,3.48e+03
"  188P/LINEAR-Mueller",2455937.5,0.4164,4.378,10.54,359.12,26.67,159.82,3.35e+03
"  189P/NEAT",2454804.5,0.5976,2.918,20.40,282.20,15.31,98.30,1.82e+03
"  190P/Mueller",2457640.5,0.5207,4.242,2.17,335.55,50.42,17.39,3.19e+03
"  191P/McNaught",2455252.5,0.4207,3.533,8.76,106.50,274.21,132.91,2.43e+03
"  192P/Shoemaker-Levy 1",2456888.5,0.7720,6.476,24.54,51.59,313.08,145.92,6.02e+03
"  193P/LINEAR-NEAT",2457214.5,0.3942,3.575,10.69,335.19,8.44,33.29,2.47e+03
"  194P/LINEAR",2455839.5,0.5743,4.006,11.12,352.05,130.54,161.90,2.93e+03
"  195P/Hill",2458931.5,0.3133,6.497,36.34,243.10,249.51,243.64,6.05e+03
"  196P/Tichy",2457154.5,0.4344,3.775,19.38,24.26,11.95,355.45,2.68e+03
"  197P/LINEAR",2454004.5,0.6299,2.867,25.56,66.40,188.75,238.00,1.77e+03
"  198P/ODAS",2452729.5,0.4477,3.583,1.35,358.74,69.06,248.98,2.48e+03
"  199P/Shoemaker 4",2455678.5,0.5075,5.948,24.76,92.62,191.83,50.89,5.3e+03
"  200P/Larsen",2454471.5,0.3332,4.908,12.12,234.82,133.69,338.97,3.97e+03
"  201P/LONEOS",2456055.5,0.6129,3.461,7.04,35.29,24.95,209.80,2.35e+03
"  202P/Scotti",2454417.5,0.3304,3.774,2.19,194.59,255.59,299.21,2.68e+03
"  203P/Korlevic",2455961.5,0.3160,4.654,2.97,290.52,154.73,71.17,3.67e+03
"  204P/LINEAR-NEAT",2456989.5,0.4722,3.656,6.59,109.07,355.05,306.64,2.55e+03
"  205P/Giacobini",2456707.5,0.5669,3.547,15.29,179.62,154.26,293.76,2.44e+03
"  206P/Barnard-Boattini",2453922.5,0.6485,3.234,33.20,204.38,181.36,217.44,2.12e+03
"  207P/NEAT",2459478.5,0.7591,3.872,10.19,198.34,273.00,248.36,2.78e+03
"  208P/McMillan",2456888.5,0.3720,4.05,4.41,36.43,310.60,277.39,2.98e+03
"  209P/LINEAR",2456087.5,0.6814,2.95,21.34,62.87,152.63,225.58,1.85e+03
"  210P/Christensen",2460581.5,0.8341,3.162,10.29,93.80,345.93,286.24,2.05e+03
"  211P/Hill",2456736.5,0.3392,3.559,18.89,117.27,4.34,260.47,2.45e+03
"  212P/NEAT",2455565.5,0.5790,3.924,22.41,98.91,14.98,96.58,2.84e+03
"  213P/Van Ness",2458161.5,0.4076,3.348,10.38,311.32,5.56,22.63,2.24e+03
"  214P/LINEAR",2452790.5,0.4896,3.604,15.23,348.31,190.16,65.67,2.5e+03
"  215P/NEAT",2457414.5,0.1950,4.348,10.06,61.16,255.41,213.74,3.31e+03
"  216P/LINEAR",2457873.5,0.4455,3.875,9.05,359.87,151.51,43.16,2.79e+03
"  217P/LINEAR",2456311.5,0.6888,3.95,12.86,125.54,246.94,154.24,2.87e+03
"  218P/LINEAR",2458035.5,0.6220,3.096,2.73,176.03,59.67,162.71,1.99e+03
"  219P/LINEAR",2456827.5,0.3520,3.65,11.53,231.03,107.48,221.75,2.55e+03
"  220P/McNaught",2459594.5,0.5017,3.116,8.13,150.10,180.56,71.73,2.01e+03
"  221P/LINEAR",2455781.5,0.4876,3.473,11.43,229.99,39.51,140.94,2.36e+03
"  222P/LINEAR",2454620.5,0.7268,2.857,5.15,7.13,345.43,267.12,1.76e+03
"  223P/Skiff",2455873.5,0.4164,4.148,27.05,346.83,37.87,52.56,3.09e+03
"  224P/LINEAR-NEAT",2453813.5,0.4373,3.37,14.87,43.27,10.94,144.29,2.26e+03
"  225P/LINEAR",2458849.5,0.6374,3.651,21.34,14.18,3.88,174.10,2.55e+03
"  226P/Pigott-LINEAR-Kowalski",2458566.5,0.5282,3.769,44.00,54.01,341.10,125.36,2.67e+03
"  227P/Catalina-LINEAR",2459300.5,0.5104,3.559,6.51,48.59,90.86,200.85,2.45e+03
"  228P/LINEAR",2455682.5,0.1770,4.168,7.92,31.07,114.80,346.69,3.11e+03
"  229P/Gibbs",2457310.5,0.3761,3.934,26.07,157.91,224.22,286.25,2.85e+03
"  230P/LINEAR",2457211.5,0.5631,3.4,14.65,112.40,308.91,339.08,2.29e+03
"  231P/LINEAR-NEAT",2456088.5,0.2468,4.026,12.33,133.08,42.43,47.65,2.95e+03
"  232P/Hill",2455471.5,0.3349,4.485,14.64,56.13,53.42,37.93,3.47e+03
"  233P/La Sagra",2458093.5,0.4113,3.03,11.28,74.93,27.13,167.24,1.93e+03
"  234P/LINEAR",2456045.5,0.2508,3.815,11.52,179.72,358.13,113.41,2.72e+03
"  235P/LINEAR",2460374.5,0.4295,3.466,9.94,200.84,350.91,260.15,2.36e+03
"  236P/LINEAR",2455965.5,0.5086,3.728,16.33,245.66,119.34,70.83,2.63e+03
"  237P/LINEAR",2459557.5,0.4344,3.512,14.01,245.38,25.24,281.90,2.4e+03
"  238P/Read",2459837.5,0.2517,3.166,1.26,51.63,324.21,17.77,2.06e+03
"  239P/LINEAR",2457665.5,0.6314,4.47,11.31,255.94,220.38,273.66,3.45e+03
"  240P/NEAT",2460507.5,0.4503,3.861,23.54,74.91,352.03,292.21,2.77e+03
"  241P/LINEAR",2457040.5,0.6099,4.954,20.87,305.81,110.53,147.11,4.03e+03
"  242P/Spahr",2458917.5,0.2779,5.476,32.48,180.50,246.29,224.34,4.68e+03
"  243P/NEAT",2456020.5,0.3591,3.831,7.64,87.67,283.77,52.23,2.74e+03
"  244P/Scotti",2456714.5,0.1986,4.892,2.26,354.13,92.75,69.86,3.95e+03
"  245P/WISE",2456584.5,0.4661,4.007,21.20,316.98,317.37,166.90,2.93e+03
"  246P/NEAT",2456433.5,0.2850,4.028,15.97,78.78,176.17,13.70,2.95e+03
"  247P/LINEAR",2455813.5,0.6256,3.965,13.68,54.12,47.34,30.94,2.88e+03
"  248P/Gibbs",2457566.5,0.6383,5.988,6.35,207.78,210.16,132.43,5.35e+03
"  249P/LINEAR",2456863.5,0.8187,2.77,8.40,239.85,64.81,255.31,1.68e+03
"  250P/Larson",2457258.5,0.4074,3.733,13.29,73.71,45.03,238.00,2.63e+03
"  251P/LINEAR",2454201.5,0.5098,3.492,23.51,219.55,30.91,154.96,2.38e+03
"  252P/LINEAR",2457552.5,0.6731,3.047,10.42,190.95,343.31,16.63,1.94e+03
"  253P/PANSTARRS",2458607.5,0.4130,3.469,4.94,146.88,230.71,55.11,2.36e+03
"  254P/McNaught",2459068.5,0.3203,4.615,32.57,129.17,219.47,354.67,3.62e+03
"  255P/Levy",2454456.5,0.6720,3.025,18.33,279.78,179.59,82.56,1.92e+03
"  256P/LINEAR",2457065.5,0.4194,4.631,27.63,81.44,124.12,68.87,3.64e+03
"  257P/Catalina",2457015.5,0.4324,3.754,20.24,207.85,117.88,76.93,2.66e+03
"  258P/PANSTARRS",2457540.5,0.2104,4.405,6.75,126.29,26.01,202.41,3.38e+03
"  259P/Garradd",2456070.5,0.3411,2.728,15.90,51.96,256.56,305.88,1.65e+03
"  260P/McNaught",2457307.5,0.5959,3.67,15.80,351.86,15.43,157.58,2.57e+03
"  261P/Larson",2457671.5,0.4187,3.524,6.05,294.23,62.73,213.99,2.42e+03
"  262P/McNaught-Russell",2455919.5,0.8154,6.935,29.08,218.01,171.17,341.30,6.67e+03
"  263P/Gibbs",2458413.5,0.5878,3.06,11.54,105.81,34.57,71.27,1.96e+03
"  264P/Larsen",2453699.5,0.3737,3.893,25.15,220.97,346.62,79.77,2.81e+03
"  265P/LINEAR",2452926.5,0.6460,4.253,14.69,344.71,32.72,4.29,3.2e+03
"  266P/Christensen",2457931.5,0.3396,3.532,3.43,5.00,98.01,207.38,2.42e+03
"  267P/LONEOS",2454368.5,0.5934,3.29,5.37,245.25,96.86,63.94,2.18e+03
"  268P/Bernardi",2457631.5,0.4698,4.562,16.10,127.63,0.31,49.78,3.56e+03
"  269P/Jedicke",2455142.5,0.4347,7.212,6.61,248.99,223.92,266.12,7.07e+03
"  270P/Gehrels",2454667.5,0.4676,6.752,2.86,225.68,211.48,257.50,6.41e+03
"  271P/van Houten-Lemmon",2456196.5,0.3907,6.974,6.86,9.59,35.09,344.88,6.73e+03
"  272P/NEAT",2455296.5,0.4565,4.446,18.19,111.52,26.20,248.90,3.42e+03
"  273P/Pons-Gambart",2456369.5,0.9753,32.83,136.40,320.43,20.19,0.46,6.87e+04
"  274P/Tombaugh-Tenagra",2457357.5,0.4397,4.364,15.83,81.37,38.59,109.23,3.33e+03
"  275P/Hermann",2453091.5,0.7139,5.765,21.57,349.27,173.14,132.59,5.06e+03
"  276P/Vorobjov",2459976.5,0.2681,5.326,14.81,211.35,199.48,305.41,4.49e+03
"  277P/LINEAR",2457647.5,0.5038,3.858,16.75,276.35,152.18,155.99,2.77e+03
"  278P/McNaught",2457181.5,0.4334,3.7,6.68,15.49,237.92,93.43,2.6e+03
"  279P/La Sagra",2456226.5,0.3979,3.575,5.05,346.28,6.02,162.13,2.47e+03
"  280P/Larsen",2455021.5,0.4177,4.513,11.78,131.49,104.86,193.85,3.5e+03
"  281P/MOSS",2455778.5,0.1734,4.856,4.72,87.17,26.42,334.08,3.91e+03
"  283P/Spacewatch",2455999.5,0.4857,4.134,14.46,161.25,22.00,314.28,3.07e+03
"  284P/McNaught",2458321.5,0.3757,3.673,11.86,144.29,202.77,198.92,2.57e+03
"  285P/LINEAR",2458908.5,0.6179,4.509,25.02,185.48,178.40,252.03,3.5e+03
"  286P/Christensen",2458231.5,0.4242,4.115,17.04,283.95,24.69,185.10,3.05e+03
