name,designation,full_name,spkid,epoch,x_km,y_km,z_km,vx_km_s,vy_km_s,vz_km_s,gm_km3_s2,mass_kg,diameter_km,radius_km,H,neo,pha,orbit_class
Euterpe,27,    27 Euterpe (A853 VA),20000027,2026-09-08 12:00:00,45007168.29189618,264283509.0940058,112518270.8322133,-22.8621284414988,2.491463588925193,1.759179588967359,,,96.0,48.0,7.03,N,N,MBA
Bellona,28,    28 Bellona (A854 EA),20000028,2026-09-08 12:00:00,-19430175.86027083,-441829059.7643823,-123009430.6876439,15.87441941609151,-1.910847344160179,-2.127765959490452,,,120.9,60.45,7.21,N,N,MBA
Amphitrite,29,    29 Amphitrite (A854 EB),20000029,2026-09-08 12:00:00,-6277684.943282966,-353631154.6226254,-200040010.9899608,17.53212442599453,0.3272555338916145,0.3238833570243358,,,189.559,94.7795,5.97,N,N,MBA
Urania,30,    30 Urania (A854 OA),20000030,2026-09-08 12:00:00,37012643.79784299,288759992.5156834,134107663.1865163,-20.77882289234002,4.159403087959817,1.249232799704707,,,92.787,46.3935,7.57,N,N,MBA
Euphrosyne,31,    31 Euphrosyne (A854 RA),20000031,2026-09-08 12:00:00,122039747.83362,-364075040.059527,-423889921.1467317,12.70489092747467,4.737731781678066,0.6905443335897514,,,267.08,133.54,6.83,N,N,MBA
Pomona,32,    32 Pomona (A854 UA),20000032,2026-09-08 12:00:00,-288175865.1970949,221196818.3109057,58090772.00763317,-11.04972914901787,-14.85798311848972,-5.910795581529006,,,80.76,40.38,7.75,N,N,MBA
Polyhymnia,33,    33 Polyhymnia (A854 UB),20000033,2026-09-08 12:00:00,-535201890.0951291,178326331.9854931,86947655.96605043,-5.083719663421349,-10.31263424771614,-4.844078460812941,,,52.929,26.4645,8.46,N,N,MBA
Circe,34,    34 Circe (A855 GA),20000034,2026-09-08 12:00:00,-350593065.4343699,79381986.4967365,23053506.604495,-5.08818987926527,-18.54806945034696,-6.048591278610711,,,132.992,66.496,8.75,N,N,MBA
Leukothea,35,    35 Leukothea (A855 HA),20000035,2026-09-08 12:00:00,-288131300.9130956,-171741849.9599441,-109760431.1916965,11.97507951781235,-15.27166222840517,-9.030433346790058,,,103.055,51.5275,8.68,N,N,MBA
Atalante,36,    36 Atalante (A855 TA),20000036,2026-09-08 12:00:00,-429394043.4399962,-233380627.0958966,-214169279.2817115,7.047129850228221,-8.38659908579928,-7.40605821412529,,,132.842,66.421,8.53,N,N,MBA
Fides,37,    37 Fides (A855 TB),20000037,2026-09-08 12:00:00,177133268.6076982,-358746801.0489525,-179998761.7508834,13.98069400053257,7.802337095714517,3.781587400344521,,,108.35,54.175,7.29,N,N,MBA
Leda,38,    38 Leda (A856 AA),20000038,2026-09-08 12:00:00,361039805.5766594,-264313821.7080562,-87052267.85944895,8.284963010660128,11.93821983527325,6.952520230125672,,,92.255,46.1275,8.51,N,N,MBA
Laetitia,39,    39 Laetitia (A856 CA),20000039,2026-09-08 12:00:00,-447360526.6918705,83465024.21770912,53267807.37126441,-3.955960443559805,-15.19985190790596,-3.463561227468611,,,179.484,89.742,5.97,N,N,MBA
